"CountyID","CountyName","ProgramName","CountyTag"
766,"Adair","C1-Adair CHD",NA
767,"Alfalfa","C1-Alfalfa County",NA
768,"Atoka","C1-Atoka CHD",NA
770,"Blaine","C1-Blaine CHD",NA
772,"Caddo","C1-Caddo CHD",NA
773,"Canadian","C1-Canadian CHD",NA
774,"Carter","C1-Carter CHD",NA
775,"Cherokee","C1-Cherokee CHD",NA
776,"Choctaw","C1-Choctaw CHD",NA
777,"Cleveland","C1-Cleveland CHD",NA
778,"Coal","C1-Coal CHD",NA
779,"Comanche","C1-Comanche CHD",NA
780,"Cotton","C1-Cotton CHD",NA
781,"Craig","C1-Craig CHD",NA
782,"Creek","C1-Creek CHD",NA
783,"Custer","C1-Custer CHD",NA
784,"Delaware","C1-Delaware CHD",NA
785,"Garfield","C1-Garfield CHD",NA
786,"Garvin","C1-Garvin CHD",NA
787,"Grady","C1-Grady CHD",NA
788,"Grant","C1-Grant CHD",NA
789,"Greer","C1-Greer CHD",NA
790,"Harmon","C1-Harmon CHD",NA
791,"Harper","C1-Harper CHD",NA
792,"Haskell","C1-Haskell CHD",NA
793,"Hughes","C1-Hughes CHD",NA
794,"Jackson","C1-Jackson CHD",NA
795,"Jefferson","C1-Jefferson CHD",NA
796,"Johnston","C1-Johnston CHD",NA
797,"Kay","C1-Kay CHD",NA
798,"Kingfisher","C1-Kingfisher CHD",NA
799,"Kiowa","C1-Kiowa CHD",NA
800,"Latimer","C1-Latimer CHD",NA
801,"Le Flore","C1-Leflore CHD",NA
802,"Lincoln","C1-Lincoln CHD",NA
803,"Logan","C1-Logan CHD",NA
804,"Love","C1-Love CHD",NA
805,"Major","C1-Major CHD",NA
806,"Marshall","C1-Marshall CHD",NA
808,"McClain","C1-Mcclain CHD",NA
809,"McCurtain","C1-McCurtain CHD",NA
810,"McIntosh","C1-McIntosh CHD",NA
811,"Murray","C1-Murray CHD",NA
814,"Okfuskee","C1-Okfuskee CHD",NA
815,"Oklahoma","C1-Oklahoma CCHD",NA
816,"Okmulgee","C1-Okmulgee CHD",NA
818,"Ottawa","C1-Ottawa CHD",NA
820,"Payne","C1-Payne CHD",NA
821,"Pittsburg","C1-Pittsburg CHD",NA
822,"Pontotoc","C1-Pontotoc CHD",NA
823,"Pottawatomie","C1-Pottawatomie CHD",NA
824,"Pushmataha","C1-Pushmataha CHD",NA
825,"Rogers","C1-Rogers CHD",NA
826,"Seminole","C1-Seminole CHD",NA
827,"Sequoyah","C1-Sequoyah CHD",NA
828,"Stephens","C1-Stephens CHD",NA
829,"Texas","C1-Texas CHD",NA
830,"Tillman","C1-Tillman CHD",NA
831,"Tulsa","C1-Tulsa CCHD",NA
833,"Washington","C1-Washington CHD",NA
834,"Woods","C1-Woods CHD",NA
835,"Woodward","C1-Woodward CHD",NA
844,"Ellis","C1-Ellis CHD",NA
846,"Cimarron","C1-Cimarron CHD",NA
847,"Beaver","C1-Beaver",NA
